;Label;Hypotheektype;Hypotheekbedrag;Rentepercentage begin;Rentepercentage actueel;Restschuld;Aflossing;Rentevaste periode;Verstrekker;Jaar;Datum;Bruto;Netto;Bedrag kwijt;Percentage kwijt;Jaarlasten hypotheek;Netto salaris na hypotheeklasten;Aftrekposten;Belasting totaal;Schijf 1 belasting;Schijf 2 belasting
16;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;72121.43;1293.79;30;Lloyds;17;2038-04-12;71685.45;46945.63;-24739.82;34.51;6199.0;40746.63;1293.79;26782.81;25416.47;1366.34
17;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;67130.68;1208.25;30;Lloyds;18;2039-04-12;73836.01;47860.1;-25975.91;35.18;6199.0;41661.1;1208.25;27889.87;25416.47;2473.40
18;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;62052.91;1121.22;30;Lloyds;19;2040-04-12;76051.09;48802.53;-27248.55;35.83;6199.0;42603.54;1121.22;29029.61;25416.47;3613.14
19;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;56886.59;1032.68;30;Lloyds;20;2041-04-12;78332.62;49773.79;-28558.83;36.46;6199.0;43574.8;1032.68;30202.99;25416.47;4786.52
20;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;51630.18;942.59;30;Lloyds;21;2042-04-12;80682.6;50774.75;-29907.85;37.07;6199.0;44575.75;942.59;31411.02;25416.47;5994.55
21;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;46282.11;850.93;30;Lloyds;22;2043-04-12;83103.08;51806.29;-31296.78;37.66;6199.0;45607.3;850.93;32654.72;25416.47;7238.25
22;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;40840.78;757.67;30;Lloyds;23;2044-04-12;85596.17;52869.36;-32726.81;38.23;6199.0;46670.37;757.67;33935.16;25416.47;8518.69
23;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;35304.57;662.78;30;Lloyds;24;2045-04-12;88164.06;53964.91;-34199.14;38.79;6199.0;47765.91;662.78;35253.42;25416.47;9836.95
24;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;29671.82;566.25;30;Lloyds;25;2046-04-12;90808.98;55093.92;-35715.06;39.33;6199.0;48894.92;566.25;36610.64;25416.47;11194.17
25;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;23940.84;468.02;30;Lloyds;26;2047-04-12;93533.25;56257.41;-37275.84;39.85;6199.0;50058.41;468.02;38007.96;25416.47;12591.50
26;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;18109.93;368.09;30;Lloyds;27;2048-04-12;96339.25;57456.42;-38882.83;40.36;6199.0;51257.42;368.09;39446.59;25416.47;14030.13
27;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;12177.34;266.41;30;Lloyds;28;2049-04-12;99229.42;58692.02;-40537.4;40.85;6199.0;52493.02;266.41;40927.76;25416.47;15511.29
28;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;6141.30;162.96;30;Lloyds;29;2050-04-12;102206.31;59965.33;-42240.97;41.33;6199.0;53766.33;162.96;42452.71;25416.47;17036.25
29;Lloyds 30 1.73%;annuit;145000;1.73%;0.00%;-0.00;57.70;30;Lloyds;30;2051-04-12;105272.49;61277.49;-43995.0;41.79;6199.0;55078.49;57.70;44022.77;25416.47;18606.30
